ADC,0001 11rd dddd rrrr
ADD,0000 11rd dddd rrrr
ADIW,1001 0110 KKdd KKKK
AND,0010 00rd dddd rrrr
ANDI,0111 KKKK dddd KKKK
ASR,1001 010d dddd 0101
BLD,1111 100d dddd 0bbb
BREAK,1001 0101 1001 1000
BSET,1001 0100 0sss 1000
BST,1111 101d dddd 0bbb
CALL,1001 010k kkkk 111k kkkk kkkk kkkk kkkk
CBI,1001 1000 AAAA Abbb
CLC,1001 0100 1000 1000
CLH,1001 0100 1101 1000
CLI,1001 0100 1111 1000
CLN,1001 0100 1010 1000
CLS,1001 0100 1100 1000
CLT,1001 0100 1110 1000
CLV,1001 0100 1011 1000
CLZ,1001 0100 1001 1000
COM,1001 010d dddd 0000
CP,0001 01rd dddd rrrr
CPC,0000 01rd dddd rrrr
CPI,0011 KKKK dddd KKKK
CPSE,0001 00rd dddd rrrr
DEC,1001 010d dddd 1010
DES,1001 0100 KKKK 1011
EICALL,1001 0101 0001 1001
EIJMP,1001 0100 0001 1001
ELPM_1,1001 0101 1101 1000
ELPM_2,1001 000d dddd 0110
ELPM_3,1001 000d dddd 0111
EOR,0010 01rd dddd rrrr
FMUL,0000 0011 0ddd 1rrr
FMULS,0000 0011 1ddd 0rrr
FMULSU,0000 0011 1ddd 1rrr
ICALL,1001 0101 0000 1001
IJMP,1001 0100 0000 1001
IN,1011 0AAd dddd AAAA
INC,1001 010d dddd 0011
JMP,1001 010k kkkk 110k kkkk kkkk kkkk kkkk
LAC,1001 001r rrrr 0110
LAS,1001 001r rrrr 0101
LAT,1001 001r rrrr 0111
LD_X_I,1001 000d dddd 1100
LD_X_II,1001 000d dddd 1101
LD_X_III,1001 000d dddd 1110
LDD_Y_II,1001 000d dddd 1001
LDD_Y_III,1001 000d dddd 1010
LDD_Y_I_IV,10q0 qq0d dddd 1qqq
LDD_Z_II,1001 000d dddd 0001
LDD_Z_III,1001 000d dddd 0010
LDD_Z_I_IV,10q0 qq0d dddd 0qqq
LDI,1110 KKKK dddd KKKK
LDS_32,1001 000d dddd 0000 kkkk kkkk kkkk kkkk
LDS_16,1010 0kkk dddd kkkk
LPM_I,1001 0101 1100 1000
LPM_II,1001 000d dddd 0100
LPM_III,1001 000d dddd 0101
LSR,1001 010d dddd 0110
MOV,0010 11rd dddd rrrr
MOVW,0000 0001 dddd rrrr
MUL,1001 11rd dddd rrrr
MULS,0000 0010 dddd rrrr
MULSU,0000 0011 0ddd 0rrr
NEG,1001 010d dddd 0001
NOP,0000 0000 0000 0000
OR,0010 10rd dddd rrrr
ORI,0110 KKKK dddd KKKK
OUT,1011 1AAr rrrr AAAA
POP,1001 000d dddd 1111
PUSH,1001 001d dddd 1111
RCALL,1101 kkkk kkkk kkkk
RET,1001 0101 0000 1000
RETI,1001 0101 0001 1000
RJMP,1100 kkkk kkkk kkkk
ROR,1001 010d dddd 0111
SBC,0000 10rd dddd rrrr
SBCI,0100 KKKK dddd KKKK
SBI,1001 1010 AAAA Abbb
SBIC,1001 1001 AAAA Abbb
SBIS,1001 1011 AAAA Abbb
SBIW,1001 0111 KKdd KKKK
SBRC,1111 110r rrrr 0bbb
SBRS,1111 111r rrrr 0bbb
SEC,1001 0100 0000 1000
SEH,1001 0100 0101 1000
SEI,1001 0100 0111 1000
SEN,1001 0100 0010 1000
SES,1001 0100 0100 1000
SET,1001 0100 0110 1000
SEV,1001 0100 0011 1000
SEZ,1001 0100 0001 1000
SLEEP,1001 0101 1000 1000
SPM_1,1001 0101 1110 1000
SPM_2_1,1001 0101 1110 1000
SPM_2_2,1001 0101 1111 1000
ST_X_I,1001 001r rrrr 1100
ST_X_II,1001 001r rrrr 1101
ST_X_III,1001 001r rrrr 1110
STD_Y_II,1001 001r rrrr 1001
STD_Y_III,1001 001r rrrr 1010
STD_Y_I_IV,10q0 qq1r rrrr 1qqq
ST_Z_II,1001 001r rrrr 0001
STD_Z_III,1001 001r rrrr 0010
STD_Z_I_IV,10q0 qq1r rrrr 0qqq
STS_32,1001 001d dddd 0000 kkkk kkkk kkkk kkkk
STS_16,1010 1kkk dddd kkkk
SUB,0001 10rd dddd rrrr
SUBI,0101 KKKK dddd KKKK
SWAP,1001 010d dddd 0010
WDR,1001 0101 1010 1000
XCH,1001 001r rrrr 0100
BRBC,1111 01kk kkkk ksss
BRBS,1111 00kk kkkk ksss
BCLR,1001 0100 1sss 1000